Numéro|Nom de Page|Lien image|Largeur|Longueur
f247|119r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f247|3799|5658
f248|119v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f248|3830|5614
f249|120r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f249|3842|5658
f250|120v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f250|3830|5614
f251|121r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f251|3842|5658
f252|121v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f252|3830|5641
f253|122r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f253|3823|5658
f254|122v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f254|3801|5631
f255|123r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f255|3823|5658
f256|123v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f256|3800|5596
f257|124r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f257|3823|5658
f258|124v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f258|3800|5596
f259|125r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f259|3823|5658
f260|125v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f260|3800|5596
f261|126r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f261|3823|5658
f262|126v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f262|3800|5596
f263|127r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f263|3823|5658
f264|127v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f264|3782|5610
f265|128r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f265|3836|5658
f266|128v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f266|3782|5610
f267|129r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f267|3836|5622
f268|129v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f268|3782|5590
f269|130r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f269|3836|5622
f270|130v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f270|3782|5610
